numero,nombre,fechaCaducidad,codigoAutorizacion
3974 8228 3584 7557,Gabriel Vallejo Cozar,07/29,861
8358 7517 5756 8128,Blas Gonzalez Punset,08/33,966
6786 4515 3874 4054,Francisco Ribera Pelaez,12/26,828
1282 0772 3884 8468,Clodoveo San Poza,06/32,488
9298 5726 0461 9939,Eva Pelaez Martinez,01/32,011
5085 5866 3374 6636,Pedro Coll Avila,04/26,824
4705 0441 8548 5505,Sofia Argudo Narvaez,12/30,115
2983 3994 6456 9038,Eva Pomares Gonzalez,08/32,258
2693 1522 8708 2573,Enjuto Padro Gibson,01/33,231
9779 3784 1842 4204,Francisco Garau Martinez,12/33,461
1862 6756 5686 7757,Hugo Dans Gonzalez,06/32,708
3063 7087 2823 0161,Jose Dans Gibson,04/30,609
5966 8588 3834 8538,Jose Cozar Padro,06/31,446
2763 4785 5565 3324,Alfredo Morales Argudo,08/29,966
8738 7477 5595 0842,Luisa Pelaez Gonzalez,08/27,210
9499 0261 9509 1422,Clodoveo Pelaez Torres,11/28,519
4935 8978 2493 0411,Alfredo Reyes Gonzalez,03/29,903
3294 6166 8748 5415,Jose Locke Gonzalez,08/27,894
7747 7457 1012 6686,Sofia Punset Linus,03/31,677
8408 3514 7677 0291,John Moreno Argudo,07/30,932
5906 0451 5575 4525,Clodoveo Avila Moss,02/34,492
7247 3424 8888 8708,Restituta Punset Gibson,10/29,085
0361 4675 9018 7017,Jack Vallejo Lobo,11/27,384
1042 4535 5716 0682,Pedro Pomares San,11/31,793
7287 1963 1772 9749,Blas Gibson Vallejo,02/30,889
8778 7227 0862 9489,Margarita Sparrow Moss,12/27,874
4845 6576 0601 9759,Emiliano Padro Cozar,02/33,462
6766 2253 9929 6026,John Moss Ribas,01/26,350
8017 3684 5415 1612,Gonzalo Marques Avila,06/29,910
9859 3404 2093 9158,Randall Lopez Pomares,12/29,300
3814 7427 2393 3254,Eva Lobo Moreno,06/31,627
6006 8518 4735 4074,Irene Sparrow Moss,06/28,606
9399 0892 5636 1192,Petra Marques Padro,08/32,031
8007 5505 4374 0251,Jack Dans Dans,01/35,887
8518 6156 6036 5435,Jose Argudo Gracia,06/28,835
9308 4575 6997 3113,Camilo Gibson Pelaez,01/26,041
3254 7787 1482 2593,Emiliano Linus Mojamuto,11/27,659
9829 4685 0982 3914,Pedro Vallejo Ribera,10/27,116
5535 6346 7057 1542,John Locke Avila,07/33,088
4214 2683 1312 8208,Petra Moreno Dans,07/34,151
1102 5746 7027 2073,Blas Gibson Poza,09/32,356
4034 7877 8978 6136,Clodoveo Torres Sparrow,04/28,737
9238 2483 7277 1212,Gabriel Marques Garau,09/28,745
5315 9338 9218 0391,Hugo Marques Ribera,01/33,816
5055 0702 2123 8678,Armando San Mojamuto,01/26,041
5555 1002 1662 9258,Margarita Pelaez Punset,11/27,684
8888 7967 0722 3374,Margarita Gracia Marques,03/26,160
3424 5926 8168 9268,Randall Coll Marques,03/33,746
5816 5195 8828 3073,Randall Mojamuto Mas,09/30,199
1202 5495 9909 8288,Kate Sparrow Sparrow,03/29,220
0391 1202 1632 1322,Alberto Gonzalez Pomares,04/26,720
6836 6716 6566 1993,Clodoveo Gibson Ribera,10/34,375
5365 9198 7407 4795,Blas Morales Moreno,05/32,188
3744 9769 8408 6897,Gonzalo Pomares Lopez,09/34,207
2473 9789 6256 3974,Jack Marques Avila,03/28,965
1973 8418 4224 8598,Randall Gibson Ribas,09/34,515
3774 2663 5305 2293,Jose Gibson Martinez,12/31,831
0381 6496 6596 7247,Camilo Sparrow Dominguez,02/28,746
4344 0131 2683 2683,Gonzalo Cozar San,08/27,539
8097 6826 1042 0241,Emiliano Ribas Padro,10/33,007
3894 4104 0762 7777,Emiliano Sparrow Mas,10/30,699
2793 9829 9128 5285,Enjuto Lopez Lobo,12/32,956
6716 0001 9599 0211,Enjuto Poza Gibson,10/27,058
5255 5796 7247 1662,Alfredo Pelaez Mojamuto,03/26,889
6416 9669 1152 4064,Emiliano Ribera Padro,08/30,856
0441 7607 8998 0712,Margarita Mas Linus,06/34,174
4014 8218 4465 4745,Jose Torres Martinez,01/32,332
0211 0221 6236 6536,Eva Lobo Pelaez,11/32,842
7177 1262 9859 3934,Pedro Punset Marques,06/27,392
7417 2543 0912 8107,Emiliano Linus Pomares,02/32,376
1923 6076 9178 0822,Margarita Moreno Torres,01/33,952
3704 9929 5726 6216,Luis Argudo Morales,02/31,462
4985 2953 5315 3204,Blas Dans Vallejo,07/29,793
1032 4034 7067 7437,Benjamin Cozar Garau,08/30,002
9639 1312 6376 3334,Camilo Pelaez Cozar,11/34,318
7667 8868 7167 5185,Alberto Pelaez Pelaez,07/27,208
4915 0081 5926 2003,Benjamin Mojamuto Sparrow,06/33,757
8378 6326 0882 7237,Gonzalo Vallejo Mojamuto,02/33,625
6156 8478 3974 4214,Luisa Vallejo Linus,02/26,661
6146 2403 2853 2043,Petra Locke Argudo,01/26,503
8428 2223 1462 7937,Emiliano Lopez San,11/34,094
4645 2653 3454 7807,Hugo Dominguez Dominguez,01/30,138
5245 4164 7797 1632,Jack Garau Punset,04/30,457
8077 7437 1072 7127,Eva Lobo Lopez,10/33,686
9759 5285 0672 0912,Gabriel Lopez Padro,06/30,869
1752 9088 4024 1282,John Lobo San,06/30,314
3444 8768 6156 0802,Luisa Padro Linus,08/31,048
7907 2163 9789 0301,John Dans Lopez,10/33,338
1092 5756 3214 4635,Francisco Sparrow Punset,09/34,231
0832 5035 0792 7857,Restituta Vallejo Poza,04/34,998
8708 5856 8188 3404,Sofia Pomares Pelaez,02/26,649
0281 5736 0371 0131,Gonzalo Linus Punset,03/28,163
1402 1562 2193 7947,Jack Morales Ribera,08/29,336
2513 9048 7437 2053,Blas Lopez Martinez,06/29,695
7327 8117 5005 9899,Alberto Avila Garau,06/27,235
6196 4314 2833 7677,Pedro Locke Mojamuto,09/28,641
3033 8358 1532 4334,Eva Padro Locke,04/31,588
5445 5375 5425 1362,Enjuto Pomares Vallejo,01/27,763
5565 6286 2993 2603,Alberto Padro Lobo,11/30,623
6606 4855 8728 2863,John Moreno San,01/33,604
2863 3374 1692 0632,Luis Locke Moreno,02/26,984
6136 5465 2563 8628,Eva Poza Sparrow,02/30,628
1442 6887 2173 6736,Armando Lopez Linus,06/34,473
3284 6406 7257 9078,Margarita Poza Lopez,04/33,306
4865 7247 3334 8608,Armando Sparrow Pomares,10/29,896
8548 4435 0091 3444,Armando Morales Gonzalez,09/26,793
8508 3674 6316 1122,Blas Narvaez Punset,04/32,346
6296 2053 0611 2353,Eva Vallejo Mas,07/28,317
4975 3494 3994 0982,Alfredo Garau Lopez,05/26,337
8578 0642 4965 8728,Alfredo Narvaez Gibson,03/31,555
8158 7267 9839 4855,Enjuto Lobo Vallejo,11/34,028
6186 4415 7627 1002,Gabriel Punset Morales,09/27,658
5756 5666 1622 3424,Irene Gibson Locke,03/31,920
4895 7587 7117 3214,Clodoveo Marques Dominguez,05/33,495
7357 6806 9559 4415,Irene Avila Garau,09/28,401
1022 9819 5395 9208,Petra Martinez Dans,11/33,205
3154 2183 7487 9308,Gabriel San Morales,03/29,452
0501 7747 7297 2183,Alfredo Gracia Vallejo,07/27,076
9058 5896 4284 2123,Francisco Linus Torres,07/27,975
2893 8738 8718 1742,Eva Pelaez Coll,06/26,328
6496 5435 5355 4925,Enjuto Argudo Ribera,04/31,997
9969 3043 9248 9679,John Gracia Gracia,12/32,299
8107 1412 5025 6036,Benjamin Linus Garau,05/26,342
2813 3474 0702 4875,Alberto Gonzalez Gracia,10/33,712
1422 5956 5816 6786,Margarita Locke Reyes,02/32,979
4415 6306 0872 6166,Enjuto Gibson Gibson,08/32,858
2843 8168 8057 5876,Randall Gracia Gracia,10/27,557
6816 8828 9949 7107,Eva Gonzalez Cozar,04/27,635
0471 2193 6496 2203,Gonzalo Mojamuto Mas,06/27,089
5005 8558 2533 4735,Hugo Vallejo Narvaez,11/26,486
7157 7297 3804 0461,Luis Punset Cozar,07/31,006
5105 3724 0341 7287,Clodoveo Dans Dominguez,03/32,247
2943 4134 4164 2143,Jack Ribas Morales,11/34,896
5355 2923 9739 7647,Benjamin Morales Mojamuto,05/28,753
6927 8708 9489 4625,Jack Gonzalez Marques,08/33,856
2133 4395 0652 2983,Alfredo Ribera Padro,12/29,694
9168 4755 2373 3814,Francisco Ribas Ribera,06/26,119
7367 5515 2903 6917,Pedro Locke Vallejo,08/31,907
3384 7317 7127 5535,Benjamin Dans Cozar,02/31,099
3454 1652 3474 2113,Jose Gracia Gibson,09/28,670
6746 9459 2933 5736,Sofia Gibson Ribas,08/31,274
0421 5405 0211 1582,Pedro Linus Avila,11/31,460
0001 6226 6526 8158,Jose Narvaez Morales,09/32,695
9088 8628 0621 4555,Irene Ribera Coll,07/31,740
5896 5906 9589 4805,Pedro Cozar Martinez,03/28,592
9228 4364 4395 4425,Hugo Mas Lobo,03/27,677
7957 5215 3894 5125,Alberto Gracia Sparrow,11/27,042
6276 6106 1022 6096,Kate Pomares Mas,05/30,263
2323 5025 1492 9659,Jose Martinez Vallejo,03/32,992
2923 9128 3704 6756,John Padro Dans,08/32,996
5726 0722 9879 5375,Eva Sparrow Coll,02/27,182
3684 4615 6276 3694,Enjuto Locke Dans,10/34,976
4505 9749 3514 5605,Emiliano Cozar Dominguez,12/31,347
0852 4445 1472 9599,Emiliano San Gibson,07/26,146
4825 5676 5125 3804,Clodoveo Lobo Pelaez,08/27,847
3264 4094 4995 7477,Enjuto Marques Mas,05/32,463
6216 1032 8067 0271,Gonzalo Poza Reyes,08/32,807
3544 4635 8077 1842,Kate Argudo Locke,05/26,899
8188 0942 0271 7587,Francisco Pelaez Marques,01/30,140
8117 1402 5045 6356,Camilo Ribas Mas,12/31,191
0481 3604 5435 1352,Alfredo Gonzalez Cozar,10/26,086
3604 5585 9399 6086,Emiliano Torres Cozar,08/33,627
8838 3704 0992 5135,Gabriel Punset Moreno,06/32,628
2413 3864 1342 8878,Luisa San Torres,10/28,887
4395 4585 6726 7817,Sofia Pomares Morales,01/34,959
7577 9739 0281 9589,Camilo Martinez San,04/26,910
8168 2703 1412 4485,Enjuto Argudo Punset,02/29,360
8178 3224 1562 6877,Alfredo Gibson Morales,10/33,325
2463 2743 0041 6676,Petra Morales Narvaez,03/28,621
7507 9999 1893 3774,Armando Avila Pelaez,11/29,796
2183 8037 3734 9709,Irene Poza Moss,11/31,951
1342 6546 7447 2283,Clodoveo Lobo Gonzalez,11/33,035
9599 7627 4425 3284,Luisa Moss Dominguez,06/28,219
9569 6526 9479 8178,Luis Narvaez Avila,11/32,770
3764 0742 1002 8638,Jack Dominguez Ribas,12/27,421
4074 1352 4775 7117,Enjuto Reyes Avila,02/31,025
8828 9539 2503 9869,Petra Garau Gracia,08/33,896
5646 6366 6937 8758,Armando Ribera Gibson,10/29,490
4665 1602 3424 1622,Gonzalo Cozar Mas,09/31,705
3554 9849 3414 7577,Armando Ribera Punset,02/31,529
1292 5605 8988 2643,Benjamin Gibson Narvaez,04/27,174
8898 7897 6586 9248,Francisco Dominguez Narvaez,04/29,701
0642 3033 2423 3274,Petra Lobo Reyes,03/28,024
9809 8007 8268 6276,Luis Lobo Padro,12/31,842
3584 6236 5986 2343,Luis Padro Pelaez,02/31,270
9769 9899 2413 9018,Camilo Coll Punset,02/29,503
1232 4815 3744 2923,Gonzalo Locke Reyes,10/27,429
0762 2883 7457 8578,Petra Ribera Dans,08/30,156
2173 9288 2463 9419,Pedro Gonzalez Punset,03/32,130
6096 1432 5916 8037,Margarita Reyes Sparrow,06/31,388
1933 8388 8948 1692,Alberto Linus Padro,06/32,355
0181 1953 9999 8808,Emiliano Reyes Morales,08/32,681
2723 9218 7047 8148,Gabriel Martinez Punset,10/34,869
4174 6937 3624 7687,Irene Linus Lobo,09/32,976
5425 7387 4264 9459,Luisa Torres Moreno,06/29,221
4184 0591 1132 3464,Francisco Marques Linus,02/30,947
6856 0922 2523 3584,Restituta Garau Poza,01/26,845
4024 3083 0962 4705,Eva Gonzalez Cozar,10/32,484
7487 2643 7337 4174,Petra San Marques,01/29,996
5866 2503 1252 8798,Restituta Argudo Locke,10/34,892
0151 0421 4004 8017,Clodoveo Dans Pelaez,07/29,360
9849 1742 9969 7077,Clodoveo Dominguez Linus,07/31,202
7767 6446 7157 2213,Armando Mas Narvaez,10/29,703
6036 7917 0812 3003,Gabriel Mas Vallejo,10/31,891
6336 9038 6536 0732,Gonzalo Gibson Gibson,10/26,268
6636 7137 1212 7987,Kate Pelaez Marques,04/32,403
1372 6606 0311 3924,Armando Garau Argudo,04/32,566
7187 9148 3714 3754,Camilo Lobo Vallejo,10/30,867
5786 2123 2293 7907,Luisa Gibson Padro,09/30,557
7607 4915 7867 5936,Jose Lopez Gonzalez,04/26,477
9379 5535 7087 9539,Alfredo Pomares Lopez,12/30,059
2283 4545 3073 1592,Eva Moreno Punset,07/28,732
4224 5005 3774 7397,Gabriel Avila Gibson,04/32,617
4204 0632 7647 3514,John Gracia Morales,04/27,637
1392 6246 2443 2633,Benjamin Mas Cozar,05/29,761
1252 7127 9118 5465,Sofia Martinez Narvaez,08/31,074
9368 1362 8308 0491,Hugo Mojamuto Poza,02/28,528
5075 4995 8648 6056,Gabriel Gonzalez Gracia,03/28,148
8528 0461 9098 5485,Hugo Marques Pomares,12/34,646
